gps_lat,gps_long,lat,long,city,state,area,country,state_flag
44.89,-93.26,44.8833,-93.28299999999999,Richfield,Minnesota,Hennepin County,US,Minnesota
50.82,-114.94,51.08335,-115.35206000000001,Canmore,Alberta,,CA,None
26.25,-116.26,27.14231,-114.29581999999999,Bahia Asuncion,Baja California Sur,Mulege,MX,None
36.16,-113.05,35.52916,-113.42549,Peach Springs,Arizona,Mohave County,US,Arizona
47.39,-86.46,46.4112,-86.64926,Munising,Michigan,Alger County,US,Michigan
33.67,-106.52,34.0584,-106.89142,Socorro,New Mexico,Socorro County,US,New Mexico
35.47,-84.58,35.44285,-84.59299,Athens,Tennessee,McMinn County,US,Tennessee
35.16,-89.29,35.2437,-89.35007,Somerville,Tennessee,Fayette County,US,Tennessee
36.43,-72.56,35.957390000000004,-75.62406,Nags Head,North Carolina,Dare County,US,North Carolina
47.63,-115.8,47.474090000000004,-115.92793999999999,Wallace,Idaho,Shoshone County,US,Idaho
32.08,-104.34,32.286229999999996,-104.09577,Loving,New Mexico,Eddy County,US,New Mexico
45.99,-120.31,46.34207,-120.18727,Granger,Washington,Yakima County,US,Washington
42.33,-81.5,42.77361,-81.18038,St. Thomas,Ontario,,CA,None
33.08,-100.17,33.13343,-100.22733000000001,Aspermont,Texas,Stonewall County,US,Texas
38.64,-115.07,39.247440000000005,-114.88863,Ely,Nevada,White Pine County,US,Nevada
47.22,-112.29,46.95494,-112.68171000000001,Lincoln,Montana,Lewis and Clark County,US,Montana
34.25,-112.76,34.16253,-112.85073999999999,Congress,Arizona,Yavapai County,US,Arizona
48.83,-107.75,48.35972,-107.87428,Malta,Montana,Phillips County,US,Montana
42.29,-75.42,42.3148,-75.39157,Sidney,New York,Delaware County,US,New York
30.85,-119.64,33.34281,-118.32785,Avalon,California,Los Angeles County,US,California
44.41,-72.77,44.33783,-72.75623,Waterbury,Vermont,Washington County,US,Vermont
41.55,-99.21,41.78167,-99.13315,Burwell,Nebraska,Garfield County,US,Nebraska
49.88,-113.5,50.03332,-113.58523999999998,Claresholm,Alberta,,CA,None
44.23,-119.12,44.3896,-118.95023,Canyon City,Oregon,Grant County,US,Oregon
44.06,-108.48,43.64607,-108.21203999999999,Thermopolis,Wyoming,Hot Springs County,US,Wyoming
37.06,-94.6,37.0759,-94.63967,Galena,Kansas,Cherokee County,US,Kansas
28.01,-110.59,28.050279999999997,-110.70111000000001,La Palma,Sonora,Empalme,MX,None
39.92,-76.89,39.87454,-76.86581,Spring Grove,Pennsylvania,York County,US,Pennsylvania
45.31,-80.31,45.34732,-80.03527,Parry Sound,Ontario,Parry Sound District,CA,None
25.01,-97.93,25.01556,-97.71694000000001,El Barrancon del Tio Blas (El Barrancon),Tamaulipas,San Fernando,MX,None
43.86,-108.91,44.526340000000005,-109.05653000000001,Cody,Wyoming,Park County,US,Wyoming
43.85,-76.95,44.00012,-77.13275,Picton,Ontario,,CA,None
38.33,-122.55,38.3488,-122.51081,Eldridge,California,Sonoma County,US,California
48.71,-100.9,48.82723,-100.4457,Bottineau,North Dakota,Bottineau County,US,North Dakota
49.2,-69.26,48.73808,-69.08478000000001,Forestville,Quebec,Cote-Nord,CA,None
48.98,-74.5,49.78344,-74.84919000000001,Chapais,Quebec,Nord-du-Quebec,CA,None
25.68,-89.59,29.236620000000002,-89.98729,Grand Isle,Louisiana,Jefferson Parish,US,Louisiana
46.07,-82.21,45.97927,-81.9248,Little Current,Ontario,,CA,None
26.57,-112.23,26.891409999999997,-111.9826,Mulege,Baja California Sur,,MX,None
46.32,-80.91,46.49,-80.99001,Greater Sudbury,Ontario,,CA,None
41.87,-72.35,41.87149,-72.36869,Tolland,Connecticut,Tolland County,US,Connecticut
33.29,-66.08,32.2949,-64.78303000000001,Hamilton,Hamilton city,,BM,None
28.34,-72.52,24.05179,-74.53138,Cockburn Town,San Salvador,,BS,None
34.57,-107.24,34.42089,-107.51088,Alamo,New Mexico,Socorro County,US,New Mexico
36.0,-70.77,35.26768,-75.54236999999999,Buxton,North Carolina,Dare County,US,North Carolina
44.44,-111.74,44.07158,-111.44828999999999,Ashton,Idaho,Fremont County,US,Idaho
35.6,-108.66,35.53391,-108.5998,Church Rock,New Mexico,McKinley County,US,New Mexico
29.74,-107.32,29.8432,-107.46067,Buenaventura,Chihuahua,,MX,None
49.58,-114.54,49.73332,-114.88532,Sparwood,British Columbia,,CA,None
37.93,-104.38,38.25445,-104.60914,Pueblo,Colorado,Pueblo County,US,Colorado
41.52,-120.58,41.487109999999994,-120.54246,Alturas,California,Modoc County,US,California
42.7,-107.31,41.79107,-107.23866000000001,Rawlins,Wyoming,Carbon County,US,Wyoming
38.08,-123.4,38.33325,-123.04806,Bodega Bay,California,Sonoma County,US,California
29.03,-94.52,29.30135,-94.7977,Galveston,Texas,Galveston County,US,Texas
36.09,-82.39,36.13066,-82.42458,Banner Hill,Tennessee,Unicoi County,US,Tennessee
37.13,-122.51,37.46355,-122.42858999999999,Half Moon Bay,California,San Mateo County,US,California
37.59,-70.85,41.035940000000004,-71.95451,Montauk,New York,Suffolk County,US,New York
48.0,-88.25,47.41381,-88.29566,Eagle River,Michigan,Keweenaw County,US,Michigan
30.03,-122.49,34.63915,-120.45794,Lompoc,California,Santa Barbara County,US,California
31.94,-79.73,32.65518,-79.94037,Folly Beach,South Carolina,Charleston County,US,South Carolina
41.76,-107.54,41.79107,-107.23866000000001,Rawlins,Wyoming,Carbon County,US,Wyoming
24.91,-108.08,25.08164,-108.05673,La Reforma,Sinaloa,,MX,None
36.98,-114.99,37.364959999999996,-115.16446,Alamo,Nevada,Lincoln County,US,Nevada
48.96,-101.12,49.26811,-100.99669,Melita,Manitoba,,CA,None
32.63,-106.02,32.80703,-105.9861,Boles Acres,New Mexico,Otero County,US,New Mexico
