gps_lat,gps_long,lat,long,city,state,area,country,state_flag
-24.84,130.19,-23.69748,133.88362,Alice Springs,Northern Territory,Alice Springs,AU,Northern Territory
-26.89,139.51,-27.707279999999997,140.73696999999999,Innamincka,South Australia,,AU,South Australia
-30.27,130.43,-32.1266,133.67271000000002,Ceduna,South Australia,Ceduna,AU,South Australia
-18.61,132.0,-19.6497,134.19146999999998,Tennant Creek,Northern Territory,Barkly,AU,Northern Territory
-18.52,151.33,-20.4011,148.5802,Proserpine,Queensland,Whitsunday,AU,Queensland
-20.65,117.1,-20.772289999999998,117.14648000000001,Roebourne,Western Australia,Roebourne,AU,Western Australia
-37.59,149.22,-36.91212,149.23668999999998,Bombala,New South Wales,Bombala,AU,New South Wales
-10.2,129.32,-12.38299,130.8517,Nightcliff,Northern Territory,Darwin,AU,Northern Territory
-13.72,152.88,-10.61667,150.66666999999998,Samarai,Milne Bay,,PG,None
-13.26,151.03,-10.61667,150.66666999999998,Samarai,Milne Bay,,PG,None
-33.16,143.34,-34.18056,142.2265,Gol Gol,New South Wales,Wentworth,AU,New South Wales
-9.76,113.44,-8.5416,113.9604,Sarongan,East Java,,ID,None
-26.55,122.31,-23.35644,119.73553000000001,Newman,Western Australia,East Pilbara,AU,Western Australia
-34.52,122.89,-33.86013,121.88259,Esperance,Western Australia,Esperance Shire,AU,Western Australia
-35.28,153.26,-33.96216,151.24796,Malabar,New South Wales,Randwick,AU,New South Wales
-14.52,133.61,-14.46517,132.26346999999998,Katherine,Northern Territory,Katherine,AU,Northern Territory
-19.7,128.87,-18.22485,127.66646999999999,Halls Creek,Western Australia,Halls Creek,AU,Western Australia
-18.86,116.01,-20.66275,116.71256000000001,Dampier,Western Australia,Roebourne,AU,Western Australia
-25.27,145.65,-23.52296,148.15784,Emerald,Queensland,Central Highlands,AU,Queensland
-15.36,146.03,-15.470279999999999,145.24986,Cooktown,Queensland,Cook,AU,Queensland
